id,imdb_id,original_title,adult,backdrop_path,budget,homepage,original_language,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,collection_id,collection_name,origin_country,genres,genre_ids,production_companies,production_countries,spoken_languages,keywords
1228246,tt30274401,Five Nights at Freddy's 2,False,/54BOXpX2ieTXMDzHymdDMnUIzYG.jpg,36000000,https://www.fivenightsatfreddys.movie,en,"One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror.",381.5918,/udAxQEORq2I5wxI97N2TEqdhzBE.jpg,2025-12-03,211217062,104,Released,You there?,Five Nights at Freddy's 2,False,6.8,355,1240438,Five Nights at Freddy's Collection,US,Horror|Thriller,27|53,Blumhouse Productions|Scott Cawthon Productions|Mind Hive Films,United States of America,English,killer robot|pizzeria|sequel|serial killer|security guard|based on video game|theme park|dead children|aftercreditsstinger|duringcreditsstinger|haunted attractions|night guard|animatronic|possessed doll|supernatural horror|ghost child|slasher horror|android horror
813,tt0080339,Airplane!,False,/lz6Cy1JgOR72AilU2ghDvLKbgqT.jpg,3500000,,en,An ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning.,12.1936,/7Q3efxd3AF1vQjlSxnlerSA7RzN.jpg,1980-06-27,83453539,88,Released,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?",Airplane!,False,7.311,4880,91663,Airplane Collection,US,Comedy,35,Paramount Pictures|Howard W. Koch Productions,United States of America,English,"chicago, illinois|post-traumatic stress disorder (ptsd)|airplane|cataclysm|nun|guitar|alcohol|stewardess|taxi driver|passenger|fear of flying|pilot|medicine|air controller|landing|saxophone|autopilot|parody|spoof|food poisoning|los angeles, california|alcohol abuse|aftercreditsstinger|disaster movie|inflatable life raft|anarchic comedy"
1891,tt0080684,The Empire Strikes Back,False,/aJCtkxLLzkk1pECehVjKHA2lBgw.jpg,18000000,http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,en,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",8.5016,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,1980-05-20,538400000,124,Released,The Star Wars saga continues.,The Empire Strikes Back,False,8.4,17951,10,Star Wars Collection,US,Adventure|Action|Science Fiction,12|28|878,Lucasfilm Ltd.,United States of America,English,rebellion|android|spacecraft|asteroid|rebel|space battle|snowstorm|space colony|swamp|space opera|nostalgic|artic|excited
694,tt0081505,The Shining,False,/mmd1HnuvAzFc4iuVJcnBrhDNEKr.jpg,19000000,https://www.warnerbros.com/movies/shining,en,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",13.7163,/uAR0AWqhQL1hQa69UDEbb2rE5Wx.jpg,1980-05-23,44781695,144,Released,A masterpiece of modern horror.,The Shining,False,8.206,18468,530064,The Shining Collection,US,Horror|Thriller,27|53,Warner Bros. Pictures|Peregrine|Hawk Films|The Producer Circle Co.,United Kingdom|United States of America,English,hotel|new year's eve|child abuse|based on novel or book|isolation|telepathy|delusion|halloween|snowstorm|colorado|seclusion|surrealism|writer's block|alcoholism|premonition|psychic power|caretaker|loneliness|vision|domestic violence|postmodern|psychological thriller|writer|twins|labyrinth|alcoholic|blizzard|mutilation|bloody body of child|extrasensory perception|uxoricide|motherhood|hypothermia|haunted hotel|psychological disintegration|pediatrician|repetition|mother son relationship|supernatural power|new year|supernatural horror|ghost child|psychotronic film|psychological horror|deal with the devil|nuclear family|avant garde|new year's party|identical twins|sinister|foreboding|frightened|réveillon
4488,tt0080761,Friday the 13th,False,/16zzKM5vDxnYiqG6Tg6wOkOLSmj.jpg,550000,,en,Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning.,6.6688,/uGGpnWHOmWTARVN9wbC1nPxNgps.jpg,1980-05-09,59754601,95,Released,"They were warned...They are doomed...And on Friday the 13th, nothing will save them.",Friday the 13th,False,6.406,3213,9735,Friday the 13th Collection,US,Horror,27,Sean S. Cunningham Films|Georgetown Productions,United States of America,English,lake|new jersey|drowning|summer camp|sadism|villain|woods|revenge|murder|stalking|serial killer|cabin|camp|slasher|summer|series of murders|psychotic|1950s|teenager|suspenseful|antagonistic|b-horror
8393,tt0080801,The Gods Must Be Crazy,False,/3gzI0UrLqIR9D40qshwduhGZCp3.jpg,5000000,,en,A Coca-Cola bottle dropped from an airplane raises havoc among a normally peaceful tribe of African bushmen who believe it to be a utensil of the gods.,6.5518,/IgBfj5LfT7nwpodCZ34QCHp17x.jpg,1980-09-10,200000000,109,Released,The critics are raving... the natives are restless... and the laughter is non-stop!,The Gods Must Be Crazy,False,7.259,1262,87805,The Gods Must Be Crazy Collection,BW|ZA,Action|Comedy,28|35,CAT Films|Mimosa Films,South Africa|Botswana,Afrikaans|English|Tswana,airplane|africa|tribe|botswana|god|desert|soda bottle|kalahari|bushman|tribal|independent film
19494,tt0080319,Nine to Five,False,/k7135cfORy0T7evjsH8F1Koaxg5.jpg,10000000,,en,"Three female employees of a sexist, egotistical, lying, hypocritical bigot find a way to turn the tables on him.",5.1645,/3nm6kWMFzxGtJb4UEuDB0lDWpcD.jpg,1980-12-18,103300000,110,Released,Getting even is a full-time job.,Nine to Five,False,6.9,530,,,US,Comedy,35,IPC Films|20th Century Fox,United States of America,French|English,kidnapping|bad boss|tied up|working women|company reorganization
11335,tt0081353,Popeye,False,/hsv86jC6cnueQeOShfXhRmPCqhr.jpg,20000000,,en,"Popeye is a super-strong, spinach-scarfing sailor man who's searching for his father. During a storm that wrecks his ship, Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive. Before he can win her heart, he must first contend with Olive's fiancé, Bluto.",5.1056,/hCCp4pESgYY6uTFARYf4UYV1BdU.jpg,1980-12-12,49823037,114,Released,Haves a happy holiday with me an' Olive!,Popeye,False,5.523,671,,,US,Action|Adventure|Comedy|Family,28|12|35|10751,Paramount Pictures|Walt Disney Productions|Robert Evans Productions|King Features Syndicate,United States of America,English,baby|octopus|blackmail|musical|based on comic|tax collector|based on cartoon|super power|sailor|spinach|seaside town|abandoned baby
525,tt0080455,The Blues Brothers,False,/bk2fTuIhQIvdAA3RbnrnvLvuaTc.jpg,27000000,,en,"Jake Blues, just released from prison, puts his old band back together to save the Catholic home where he and his brother Elwood were raised.",5.0399,/rhYJKOt6UrQq7JQgLyQcSWW5R86.jpg,1980-06-16,115229890,133,Released,They'll never get caught. They're on a mission from God.,The Blues Brothers,False,7.721,4452,112636,The Blues Brothers Collection,US,Music|Comedy|Action|Crime,10402|35|28|80,Universal Pictures,United States of America,English,"prison|chicago, illinois|dancing|concert|country music|nazi|jazz|nun|music instrument|blues|shopping mall|road trip|church|buddy|parole|music|audacious|awestruck|euphoric|ridiculous"
16619,tt0081283,Ordinary People,False,/81LV5HJ9nUXGCMhrJpFNjwvbEZl.jpg,6000000,,en,"Beth, Calvin, and their son Conrad are living in the aftermath of the death of the other son. Conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. He is in therapy. Beth had always preferred his brother and is having difficulty being supportive to Conrad. Calvin is trapped between the two trying to hold the family together.",4.8748,/tJVETEDAKgD3fEh88SHOvMvOQue.jpg,1980-09-19,54766923,124,Released,Everything is in its proper place... except the past.,Ordinary People,False,7.5,673,,,US,Drama,18,Paramount Pictures|Wildwood Enterprises,United States of America,English,"chicago, illinois|depression|post-traumatic stress disorder (ptsd)|based on novel or book|suicide attempt|middle class|dysfunctional family|grief|bereavement|psychiatrist|guilt|grieving|survivor's guilt|loss of son|hopeful|sincere|tragic|mother son conflict"
